repo_owner,repo_name,Category,Number of Components,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines
opsless,ms-teams-github-actions,continuous integration,55,30,11,20,8,4,39,5,1405,30,14,30,10,1405000
oracle-actions,run-oci-cli-command,deployment,18,30,6,7,9,5,29,2,792,30,5,30,5,792000
paambaati,codeclimate-action,code review,508,30,18,30,65,5,202,20,21610,30,13,30,5,21610000
parkerbxyz,suggest-changes,code review,26,30,7,10,6,4,13,6,1410,30,5,30,3,1410000
pascalgn,automerge-action,code review,389,30,11,30,215,9,877,30,1866,30,34,30,8,1866000
peaceiris,actions-mdbook,deployment,28,30,7,25,24,3,305,5,2009,30,18,30,4,2009000
peaceiris,actions-suggest-related-links,utilities,124,30,19,5,2,3,31,3,1387,30,24,30,13,1387000
peckjon,reject-pr-approval-from-committer,code review,33,30,5,4,3,0,11,11,771,24,5,22,4,771000
peter-evans,find-comment,utilities,36,30,1,16,63,4,189,8,2315,30,2,30,0,2315000
philips-software,sonar-scanner-action,code quality,387,30,6,7,16,2,12,11,1291,30,12,30,3,1291000
pixee,upload-tool-results-action,security,50,30,4,17,0,4,14,5,1999,30,2,30,0,1999000
shadowmoose,gha-loc-badge,utilities,22,26,4,1,16,2,36,2,1144,8,5,5,2,1144000
shallwefootball,upload-s3-action,continuous integration,73,30,1,10,158,2,169,9,270,30,30,30,8,270000
sherlo-io,sherlo,testing,2884,30,8,30,1,1,28,4,275109,30,1,30,1,275109000
shimataro,ssh-key-action,deployment,13,30,4,26,89,8,586,2,13425,30,15,30,2,13425000
shioyang,check-pr-labels-on-push-action,project management,24,29,3,13,18,2,16,1,201,30,4,30,2,201000
shogo82148,actions-setup-redis,testing,49,30,6,30,2,3,38,4,5695,30,7,30,4,5695000
shogo82148,actions-upload-release-asset,publishing,28,30,6,30,7,2,81,4,5971,30,6,30,3,5971000
shonansurvivors,actions-s3-cache,deployment,22,25,8,2,13,1,13,1,746,15,4,14,3,746000
sibiraj-s,action-eslint,code quality,31,30,1,15,15,4,47,9,598,22,3,11,1,598000
sinedied,publish-devto,deployment,526,30,2,1,8,5,39,3,1653,30,3,27,0,1653000
softprops,setup-aws-copilot,deployment,10,14,1,1,19,5,26,3,157,9,2,8,1,157000
squarecloudofc,github-action,deployment,32,30,1,7,0,0,18,3,753,1,0,1,0,753000
stainless-api,upload-openapi-spec-action,utilities,167,30,23,9,7,3,14,11,1047,30,10,30,9,1047000
steffen-karlsson,stalesweeper,support,19,30,2,4,0,1,11,2,2513,24,3,22,1,2513000
step-security,wait-for-secrets,security,37,30,14,8,18,3,279,7,4858,30,18,30,8,4858000
stepci,stepci,testing,281,30,4,30,78,12,1696,18,508,30,59,30,5,508000
stoat-dev,stoat-action,utilities,2607,30,6,14,3,1,67,4,11262,30,18,30,4,11262000
superman66,wakatime-sync,project management,52,30,3,1,107,3,115,4,933,30,5,16,3,933000
swinton,screenshot-website,code quality,103,30,15,2,26,4,191,3,2388,30,17,30,7,2388000
synopsys-sig,detect-action,security,57,30,13,2,32,9,28,6,5956,30,43,30,14,5956000
sysdiglabs,scan-action,security,36,30,8,11,10,12,30,8,1069,30,7,30,4,1069000
szenius,notion-burndown,project management,59,30,1,7,24,4,64,2,4527,30,0,30,0,4527000
teatimeguest,setup-texlive-action,utilities,125,30,4,30,2,4,44,3,10384,30,11,30,2,10384000
technote-space,create-pr-action,utilities,731,30,8,30,6,2,30,2,21063,30,5,30,4,21063000
test-room-7,action-update-file,utilities,53,30,2,17,10,3,40,6,581,24,4,12,1,581000
test-summary,action,testing,25,30,2,6,34,2,408,8,250,30,20,18,2,250000
the-actions-org,workflow-dispatch,utilities,161,30,6,5,51,3,69,11,437,24,1,24,1,437000
thomaseizinger,keep-a-changelog-new-release,publishing,952,30,6,8,38,4,57,6,369,29,2,10,0,369000
tibdex,backport,utilities,477,30,9,8,66,4,74,9,2167,30,11,30,4,2167000
tinovyatkin,action-php-codesniffer,code review,45,30,15,1,26,3,23,3,844,30,25,30,9,844000
tj-actions,glob,continuous integration,543,30,8,30,21,2,17,10,9286,30,9,30,3,9286000
tmcw,notfoundbot,monitoring,642,30,5,9,7,4,114,6,3038,30,9,30,1,3038000
toshimaru,auto-author-assign,project management,27,30,4,30,21,4,105,6,1464,30,7,30,2,1464000
tubone24,update_release,deployment,66,30,20,4,6,3,16,7,1500,30,23,30,10,1500000
turtlequeue,setup-babashka,container ci,569,20,3,9,4,3,28,3,225,24,3,16,0,225000
umani,changed-files,utilities,160,30,6,13,16,3,28,8,2003,30,2,23,1,2003000
usimd,pi-gen-action,publishing,52,30,6,8,11,3,49,4,1309,30,8,30,3,1309000
varunsridharan,action-github-workflow-sync,utilities,53,30,5,8,15,3,65,7,1082,30,10,13,1,1082000
vimtor,action-zip,utilities,243,30,1,3,33,3,89,11,50,30,10,15,0,50000
vio,bundle-stats-action,utilities,90,30,22,8,1,3,19,3,9559,30,25,30,12,9559000
vlaurin,action-ghcr-prune,utilities,30,30,8,6,9,3,47,3,652,30,9,30,7,652000
vn7n24fzkq,github-profile-summary-cards,utilities,143,30,4,30,334,16,2778,30,22122,30,29,30,2,22122000
volta-cli,action,utilities,4,30,8,30,24,3,97,13,26719,30,13,30,6,26719000
wangyucode,sftp-upload-action,deployment,10,30,1,14,23,3,59,5,1715,30,1,14,0,1715000
wdzeng,edge-addon,publishing,447,30,5,13,2,2,16,5,823,16,1,6,0,823000
we-cli,coverage-badge-action,testing,3,12,3,1,11,1,49,3,11,4,0,3,0,11000
wechuli,allcheckspassed,security,36,30,3,4,4,0,23,5,1378,30,4,30,2,1378000
wenkokke,setup-agda,utilities,195,30,11,9,3,3,26,4,16888,30,16,30,0,16888000
wktk,github-project-connect-action,utilities,160,30,9,7,2,3,14,5,1852,30,8,30,7,1852000
workflow,nix-shell-action,dependency management,12,30,7,13,10,5,43,4,1273,30,5,30,4,1273000
worksome,jira-branch-name-validator-action,code quality,3,30,2,30,1,18,13,4,104,14,1,12,0,104000
xavierlowmiller,xcodegen-action,mobile ci,9,30,2,11,6,1,13,8,1341,18,1,14,0,1341000
xeol-io,bumpgen,utilities,1006,30,19,2,5,3,110,3,283,30,9,30,3,283000
xmake-io,github-action-setup-xmake,utilities,445,30,3,7,6,4,30,6,2762,30,1,23,0,2762000
xt0rted,dotnet-format,code quality,186,30,14,4,26,4,32,4,1062,30,17,30,4,1062000
xt0rted,slash-command-action,chat,35,30,10,4,8,3,67,5,3794,30,15,30,3,3794000
