repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics,lang_shell,lang_makefile,lang_cplusplus,lang_typescript,lang_nix,lang_jinja,lang_css,lang_smarty,lang_dockerfile,lang_mustache,lang_java,lang_rust,lang_python,lang_swift,lang_objective_c,lang_javascript,lang_php,lang_odin,lang_hcl,lang_agda,lang_cmake,lang_c#,lang_nunjucks,lang_batchfile,lang_dart,lang_lua,lang_html,lang_handlebars,lang_vue,lang_powershell,lang_kotlin,lang_ruby,lang_julia,lang_jq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,network_count,subscribers_count,languages
azure,k8s-set-context,deployment,132,0,2,1,1,4," cwe-1333,  cwe-918,  cwe-94, cwe-1321",4.0,30,21,8,35,21,90,21,35689,30,5,30,2,35689000,20," actions,  azure,  github-action,  github-actions,  k8s,  kubeconfig,  kubernetes, action",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub Action for setting context and retrieving Kubeconfig before deploying to Kubernetes clusters,TypeScript,MIT License,True,True,90.0,37.0,21.0,"['TypeScript', 'JavaScript']"
azure,mysql,deployment,44,0,1,3,2,6," cwe-400,  cwe-522,  cwe-730,  cwe-74,  cwe-94, cwe-1333",6.0,30,28,2,11,12,11,15,36618,30,16,30,16,36618000,17,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automate your GitHub workflows using Azure Action for MySQL,TypeScript,MIT License,True,True,11.0,11.0,12.0,"['TypeScript', 'JavaScript']"
azure,pipelines,deployment,8,0,0,1,0,1," cwe-080,  cwe-116, cwe-020",1.0,30,26,1,88,12,81,12,3500,30,46,30,19,3500000,18,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enable GitHub developers to trigger Azure Pipelines from a GitHub Actions workflow,TypeScript,MIT License,True,True,80.0,89.0,12.0,"['TypeScript', 'JavaScript']"
balastrong,chess-stats-action,utilities,9,0,2,1,0,3," cwe-434,  cwe-74,  cwe-912, cwe-020",3.0,30,2,5,4,2,22,6,758,20,3,11,0,758000,11," github-actions,  hacktoberfest,  readme, chess",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,♟️ Automatically update your README.md with Chess.com games and stats - fully customizable,TypeScript,MIT License,False,False,22.0,4.0,2.0,"['TypeScript', 'JavaScript', 'Shell']"
betahuhn,deploy-to-vercel-action,deployment,161,0,2,7,1,10," cwe-1321,  cwe-1333,  cwe-173,  cwe-400,  cwe-697,  n/a, cwe-020",10.0,30,7,30,73,4,151,15,1151,30,15,30,6,1151000,16," github-actions-ci,  github-deployment,  pr-preview,  vercel,  vercel-cli,  workflow, github-actions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,🎬▲ Deploy your project to Vercel using GitHub Actions. Supports PR previews and GitHub deployments.,JavaScript,MIT License,False,False,152.0,74.0,4.0,['JavaScript']
bhacaz,docs-as-code-confluence,utilities,49,0,1,2,0,3," cwe-080,  cwe-116,  cwe-1333, cwe-020",3.0,30,1,9,20,1,39,4,5316,19,3,12,0,5316000,9," confluence,  docs-as-code, actions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Publish the content of a folder to confluence Github Action,JavaScript,MIT License,False,False,41.0,20.0,1.0,['JavaScript']
chocobo1,setup-ccache-action,utilities,83,0,2,11,0,13," cwe-078,  cwe-080,  cwe-088,  cwe-116,  cwe-400,  cwe-730, cwe-020",13.0,30,1,30,4,2,13,2,13895,20,1,9,0,13895000,10," ccache,  cpp,  github-actions, caching",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Setup ccache easily in your workflow, with all the tuning knobs you need!",TypeScript,MIT License,False,True,13.0,4.0,2.0,"['TypeScript', 'JavaScript']"
circleci-public,trigger-circleci-pipeline-action,deployment,36,0,3,1,0,4," cwe-20,  cwe-200,  cwe-352, cwe-020",4.0,30,13,10,43,13,49,15,447,30,21,30,5,447000,10," ci-cd,  continuous-delivery,  github-action,  github-actions, actions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,nan
cyberbeni,install-swift-tool,utilities,432,1,0,3,0,4," cwe-400,  cwe-730,  cwe-770, cwe-1333",4.0,30,7,30,2,2,19,15,25860,30,3,30,1,25860000,11," swift,  workflow, github-actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub Action to build and cache any Swift based tool in workflows.,TypeScript,MIT License,False,True,19.0,2.0,2.0,"['TypeScript', 'JavaScript']"
cyclonedx,gh-node-module-generatebom,security,9,0,1,0,0,1," cwe-088, cwe-078",1.0,30,2,4,6,6,21,5,127,22,3,17,1,127000,11," bom,  cyclonedx,  gh-action,  github-action,  node,  nodejs,  owasp,  sbom,  sbom-generator,  software-bill-of-materials, bill-of-materials",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub action to generate a CycloneDX SBOM for Node.js,JavaScript,Apache License 2.0,True,True,21.0,6.0,6.0,['JavaScript']
