repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics,lang_shell,lang_makefile,lang_cplusplus,lang_typescript,lang_nix,lang_jinja,lang_css,lang_smarty,lang_dockerfile,lang_mustache,lang_java,lang_rust,lang_python,lang_swift,lang_objective_c,lang_javascript,lang_php,lang_odin,lang_hcl,lang_agda,lang_cmake,lang_c#,lang_nunjucks,lang_batchfile,lang_dart,lang_lua,lang_html,lang_handlebars,lang_vue,lang_powershell,lang_kotlin,lang_ruby,lang_julia,lang_jq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,network_count,subscribers_count,languages
mastersam07,firebase-app-distribution-action,publishing,64,2,2,1,2,7," cwe-200,  cwe-259,  cwe-284,  cwe-321,  cwe-798,  cwe-918, cwe-020",7.0,11,5,3,4,2,18,3,881,20,5,18,4,881000,12," cicd,  firebase-app-distribution,  hacktoberfest, ci",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action to upload app artifacts (.apk or .ipa) to Firebase App Distribution.,JavaScript,MIT License,False,False,18.0,4.0,2.0,['JavaScript']
meilcli,npm-update-check-action,utilities,30,0,0,0,0,0,,0.0,30,6,30,1,3,24,4,3939,30,3,30,3,3939000,10," github-actions,  npm,  npm-package, actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,npm new package version check action for GitHub Actions.,TypeScript,MIT License,False,True,24.0,1.0,3.0,"['TypeScript', 'JavaScript', 'Ruby']"
mishakav,pytest-coverage-comment,testing,41,0,1,1,0,2,cwe-020,2.0,30,6,30,60,2,192,15,714,30,11,30,6,714000,12," github-actions,  test,  testing, coverage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comments a pull request with the pytest code coverage badge and full report,JavaScript,MIT License,False,True,197.0,61.0,2.0,['JavaScript']
morrisoncole,pr-lint-action,utilities,503,6,3,13,1,23," cwe-1321,  cwe-1333,  cwe-184,  cwe-200,  cwe-284,  cwe-400,  cwe-697,  cwe-730,  cwe-918, cwe-020",23.0,30,4,19,23,3,65,13,57435,30,14,30,0,57435000,9," github-actions,  linter,  review,  typescript,  workflow, bot",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:octocat:  A fast 🔥 TypeScript GitHub Action to ensure that your PR title matches a given regex.,JavaScript,MIT License,False,True,65.0,24.0,3.0,"['JavaScript', 'TypeScript']"
mozilla-actions,sccache-action,dependency management,33,0,1,1,0,2," cwe-078,  cwe-088, cwe-020",2.0,30,6,7,24,2,129,14,1255,30,15,30,5,1255000,11,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sccache github action,TypeScript,Apache License 2.0,False,True,128.0,24.0,2.0,['TypeScript']
octopusdeploy,install-octopus-cli-action,deployment,25,0,0,0,0,0,,0.0,30,6,16,18,17,82,17,11777,30,10,30,1,11777000,14," continuous-delivery,  deployment,  github-actions,  octopus-deploy,  public, cli",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,| Public |  :octocat: GitHub Action to Install the Octopus CLI,TypeScript,Other,True,True,82.0,18.0,17.0,"['TypeScript', 'JavaScript']"
reactivecircus,android-emulator-runner,testing,28,0,24,0,0,24," cwe-088, cwe-078",24.0,30,6,30,201,15,1014,30,1968,30,76,30,8,1968000,11," ci,  github-actions,  testing, android-emulators",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"A GitHub Action for installing, configuring and running hardware-accelerated Android Emulators on macOS virtual machines.",TypeScript,Apache License 2.0,False,True,1025.0,202.0,15.0,"['TypeScript', 'JavaScript', 'Kotlin']"
readme-workflows,recent-activity,utilities,129,0,3,4,0,7," cwe-1333,  cwe-20,  cwe-200,  cwe-352,  cwe-918, cwe-020",7.0,30,12,15,45,2,135,10,26228,30,10,30,9,26228000,26," github-action,  github-actions,  hacktoberfest,  node,  node-js,  nodejs,  profile-readme,  readme-workflows,  workflows, actions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Add your recent activity to your profile readme!,JavaScript,MIT License,True,True,136.0,45.0,2.0,['JavaScript']
rebilly,lexi,code review,582,0,1,3,0,4," cwe-080,  cwe-116,  cwe-835, cwe-020",4.0,30,1,14,2,21,39,7,5829,30,1,30,0,5829000,17," actions,  comment,  comment-bot,  comment-system,  comments,  documentation,  github-actions,  markdown,  md,  pull-request,  pull-requests,  quality,  readability,  readability-level,  readability-metrics,  readability-scores,  readability-tests,  report,  reporter, action",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Reduce content complexity,TypeScript,MIT License,False,True,40.0,2.0,21.0,"['TypeScript', 'Vue', 'HTML', 'CSS']"
reedyuk,npm-version,publishing,8,0,1,0,0,1," cwe-088, cwe-078",1.0,30,1,7,5,3,19,5,60,9,1,5,0,60000,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,JavaScript,GNU General Public License v3.0,False,True,19.0,5.0,3.0,['JavaScript']
reggionick,s3-deploy,deployment,10,0,0,0,0,0,,0.0,30,10,12,84,4,249,18,477,30,14,30,3,477000,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easily deploy a static website to AWS S3 and invalidate CloudFront distribution,JavaScript,MIT License,False,True,250.0,86.0,4.0,['JavaScript']
satak,webrequest-action,utilities,19,3,3,1,1,8," cwe-20,  cwe-200,  cwe-259,  cwe-284,  cwe-321,  cwe-798,  cwe-918, cwe-020",8.0,30,3,10,16,2,48,2,1120,30,2,30,2,1120000,10," github-actions,  webrequest, api-client",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GitHub action for web requests,JavaScript,MIT License,False,True,49.0,16.0,2.0,"['JavaScript', 'PowerShell']"
scribemd,docker-cache,utilities,575,2,10,8,0,20," cwe-1333,  cwe-150,  cwe-200,  cwe-284,  cwe-400,  cwe-693,  cwe-730,  cwe-77,  cwe-79,  cwe-94, cwe-020",20.0,30,4,26,28,1,105,4,50542,30,14,30,6,50542000,17," cache,  conventional-commits,  docker,  editorconfig,  github-actions,  jest,  megalinter,  nodejs,  pre-commit,  prettier,  python,  python-poetry,  renovate,  semver,  ts-node,  typescript,  vscode,  yaml,  yarn, asdf",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cache Docker Images Whether Built or Pulled,TypeScript,MIT License,False,True,106.0,28.0,1.0,"['TypeScript', 'Dockerfile']"
sethcohen,github-releases-to-discord,deployment,35,0,0,2,0,2," cwe-080,  cwe-116, cwe-020",2.0,30,1,26,9,2,29,7,1232,30,1,30,0,1232000,11," changelog,  changelog-parser,  discord,  discord-webhook,  embed,  github,  github-action,  github-actions,  github-release,  release,  webhook, action",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Posts a GitHub Release changelog to a specified Discord channel,JavaScript,MIT License,False,False,29.0,9.0,2.0,['JavaScript']
simonscholz,google-chat-action,chat,38,0,0,1,0,1,cwe-020,1.0,30,7,2,5,2,19,2,981,30,7,30,6,981000,12,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub Action to send notifications to a google chat using the cards v2 syntax,TypeScript,Apache License 2.0,False,False,20.0,5.0,2.0,['TypeScript']
spectralops,spectral-github-action,security,12,0,2,1,0,3," cwe-088,  cwe-1333,  cwe-74, cwe-078",3.0,28,3,5,9,3,14,8,199,15,1,10,1,199000,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spectral Security Integration into your Github Actions pipeline,JavaScript,MIT License,False,False,14.0,9.0,3.0,['JavaScript']
svanboxel,zaproxy-to-ghas,testing,25,0,1,2,1,4," cwe-400,  cwe-506,  cwe-74, cwe-020",4.0,30,2,3,4,3,16,4,326,30,6,30,2,326000,10,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Present ZAProxy results in GitHub Advanced Security ,TypeScript,MIT License,True,False,16.0,4.0,3.0,"['TypeScript', 'JavaScript']"
themrmilchmann,setup-msvc-dev,utilities,133,0,1,0,0,1," cwe-088, cwe-078",1.0,30,5,7,2,3,15,3,241025,30,1,30,1,241025000,14," msvc,  vcvarsall,  visual-cpp,  windows, github-actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Github Action to set up a Developer Command Prompt for Microsoft Visual C++,TypeScript,MIT License,False,True,15.0,2.0,3.0,['TypeScript']
timdaub,hetzner-cloud-deploy-server-action,deployment,5,0,2,1,0,3," cwe-359,  cwe-74, cwe-173",3.0,30,1,1,14,6,33,2,92,19,7,3,0,92000,9," cloud,  continous,  github,  hetzner,  integration, actions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deploy a Hetzner Cloud Server from a GitHub Action.,JavaScript,GNU General Public License v3.0,False,False,33.0,14.0,6.0,['JavaScript']
tinkurlab,issue-labeler-action,project management,26,0,0,0,0,0,,0.0,30,4,10,2,2,12,2,1008,30,4,30,2,1008000,9,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,🏷 A GitHub Action that adds labels to an issue based on a string in the issue description.,JavaScript,ISC License,False,True,12.0,2.0,2.0,"['JavaScript', 'Dockerfile', 'Shell']"
tinkurlab,monorepo-pr-labeler-action,code review,28,0,0,3,0,3," cwe-400,  cwe-730, cwe-020",3.0,30,4,15,14,4,99,8,618,30,7,30,3,618000,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,🚊 A GitHub Action that labels PRs with the repo(s) impacted in a monorepo.,JavaScript,ISC License,False,True,99.0,14.0,4.0,['JavaScript']
tryghost,action-deploy-theme,deployment,420,0,1,0,0,1,cwe-020,1.0,30,2,14,47,14,363,15,1104,30,6,30,2,1104000,10," ghost-theme,  github-action,  github-actions, ghost",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:octocat: Deploy your Ghost theme with Github Actions,JavaScript,MIT License,True,True,366.0,47.0,14.0,['JavaScript']
tyrrrz,action-http-request,utilities,9,0,0,0,0,0,,0.0,27,1,1,5,2,15,2,33,9,0,9,0,33000,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub Action that sends an HTTP request,JavaScript,MIT License,False,True,16.0,5.0,2.0,['JavaScript']
wandalen,wretry.action,deployment,16,0,0,0,0,0,,0.0,30,2,30,24,4,107,8,9202,30,4,30,0,9202000,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Retry action for Github CI,JavaScript,MIT License,False,False,108.0,24.0,4.0,['JavaScript']
yockow,action-setup-swift,utilities,39,0,0,0,0,0,,0.0,30,6,28,3,2,22,3,10133,30,0,30,0,10133000,10," swift, setup-swift",1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub Action that sets up Swift.,JavaScript,MIT License,False,True,22.0,3.0,2.0,"['JavaScript', 'TypeScript', 'Python', 'Swift', 'Shell']"
zqzqsb,multisourcesnake,utilities,1154,9,6,10,0,25," cwe-1333,  cwe-200,  cwe-284,  cwe-400,  cwe-405,  cwe-730,  cwe-74,  cwe-79,  cwe-940,  n/a, cwe-020",25.0,21,1,11,0,1,25,1,2657,0,0,0,0,2657000,9,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TypeScript,MIT License,False,False,26.0,0.0,1.0,"['TypeScript', 'Dockerfile']"
agallea,tests-coverage-report,code review,40,0,1,1,1,3," cwe-078,  cwe-088, cwe-020",3.0,30,21,10,0,1,24,3,1340,30,7,30,4,1340000,12,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Github action for tests coverage report,TypeScript,MIT License,False,True,25.0,0.0,1.0,"['TypeScript', 'JavaScript']"
abel0b,setup-premake,continuous integration,10,0,1,1,0,2," cwe-74, cwe-1333",2.0,28,2,6,6,3,17,6,203,11,0,7,0,203000,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,nan
abeyuya,actions-mention-to-slack,chat,45,0,3,0,0,3," cwe-200,  cwe-352, cwe-20",3.0,30,12,6,21,2,58,4,9103,30,11,30,10,9103000,10," github-actions,  mention,  slack, bot",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Github Action for convert Github mention to Slack mention.,TypeScript,MIT License,False,True,58.0,21.0,2.0,"['TypeScript', 'JavaScript']"
abronin,ecr-retag-action,utilities,594,2,3,5,0,10," cwe-1333,  cwe-200,  cwe-284,  cwe-400,  cwe-476, cwe-020",10.0,25,1,8,8,2,28,1,2206,10,2,6,1,2206000,9," aws-ecr-tools,  docker,  ecr,  github-actions,  github-actions-docker, aws-ecr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:octocat: GitHub Action to retag existing Docker image in AWS ECR,JavaScript,MIT License,False,False,28.0,8.0,2.0,['JavaScript']
antongolub,action-setup-bun,continuous integration,176,4,6,6,0,16," cwe-080,  cwe-116,  cwe-1321,  cwe-1333,  cwe-200,  cwe-284,  cwe-400,  cwe-730, cwe-020",16.0,30,3,30,0,3,50,2,2331,30,2,30,2,2331000,10," bun,  github,  github-actions, actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Setup GitHub Actions workflow with a specific version of Bun,TypeScript,MIT License,False,True,50.0,0.0,3.0,"['TypeScript', 'JavaScript']"
apexskier,github-release-commenter,utilities,614,0,10,15,3,28," cwe-1333,  cwe-173,  cwe-184,  cwe-20,  cwe-345,  cwe-400,  cwe-476,  cwe-697,  cwe-74,  cwe-915,  cwe-918, cwe-1321",28.0,30,5,30,4,3,24,3,2003,30,7,30,2,2003000,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,nan
aquiladev,ipfs-action,deployment,396,0,7,6,1,14," cwe-1321,  cwe-1333,  cwe-20,  cwe-200,  cwe-352,  cwe-835,  cwe-940, cwe-020",14.0,30,8,29,46,3,179,4,31794,30,9,30,6,31794000,11," deploy,  github,  infura,  ipfs,  pinata,  upload, action",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GitHub Action for upload to IPFS. Supports Pinata, Infura pinning service as well as direct upload.",JavaScript,MIT License,False,True,180.0,46.0,3.0,"['JavaScript', 'Shell']"
ardalanamini,auto-changelog,utilities,602,0,1,4,0,5," cwe-1333, cwe-020",5.0,30,6,28,15,2,26,4,7842,30,8,30,5,7842000,13," authors,  changelog,  compare,  contributors,  github,  github-actions,  prerelease,  release,  semver,  utilities, actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Github Automatic Changelog action,TypeScript,MIT License,False,True,26.0,15.0,2.0,['TypeScript']
arduino,arduino-lint-action,testing,92,0,0,1,0,1,cwe-1333,1.0,30,5,4,9,10,47,9,4220,30,6,30,2,4220000,30," ci,  continuous-integration,  github-actions,  linter, arduino",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub Actions action to check Arduino projects for problems,TypeScript,Apache License 2.0,True,True,47.0,9.0,10.0,"['TypeScript', 'JavaScript']"
arduino,setup-arduino-cli,utilities,22,0,0,0,0,0,,0.0,30,4,5,10,15,76,9,1073,30,2,30,1,1073000,30," github-actions,  tooling-team, arduino",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub Action to setup Arduino CLI,TypeScript,MIT License,True,True,76.0,10.0,15.0,"['TypeScript', 'JavaScript']"
ashutoshvarma,action-cmake-build,testing,5,0,1,0,0,1,cwe-74,1.0,30,27,1,10,2,24,3,871,30,31,30,14,871000,11,action,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Github action for cmake based projects,TypeScript,MIT License,False,True,24.0,10.0,2.0,"['TypeScript', 'JavaScript', 'CMake', 'C++']"
ashutoshvarma,setup-ninja,utilities,62,0,6,6,1,13," cwe-080,  cwe-116,  cwe-1321,  cwe-22,  cwe-74,  cwe-915,  cwe-918, cwe-020",13.0,30,8,2,7,1,15,3,1846,24,12,20,9,1846000,10,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Set up your GitHub Actions workflow with a specific version of ninja,TypeScript,MIT License,False,True,15.0,7.0,1.0,"['TypeScript', 'JavaScript']"
aslafy-z,conventional-pr-title-action,code review,126,0,1,0,0,1," cwe-088, cwe-078",1.0,30,9,30,35,3,85,7,16446,30,0,30,0,16446000,14," conventional-commits,  github-actions,  hacktoberfest,  pr-title,  pull-requests, conventional-changelog",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ensure your PR title matches the Conventional Commits spec.,JavaScript,MIT License,False,False,87.0,35.0,3.0,"['JavaScript', 'Dockerfile']"
astral-sh,setup-uv,utilities,107,0,2,10,0,12," cwe-338,  cwe-400,  cwe-730, cwe-020",12.0,30,10,30,25,4,286,14,6462,30,13,30,1,6462000,19,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Set up your GitHub Actions workflow with a specific version of https://docs.astral.sh/uv/,TypeScript,MIT License,False,False,307.0,28.0,4.0,"['TypeScript', 'Python', 'JavaScript']"
atalent-labs,404-links,code quality,51,0,0,0,0,0,,0.0,30,3,11,2,2,18,3,11655,30,2,30,2,11655000,10," automation,  awesome,  github-actions,  markdown,  qa,  quality,  spellcheck, actions",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,🚨 | The only Github Action that will open pull request review when a broken link has been found in one of your markdown documentation.,JavaScript,MIT License,False,True,19.0,2.0,2.0,"['JavaScript', 'Dockerfile']"
atlassian,gajira-create,project management,612,0,2,11,1,14," cwe-1321,  cwe-1333,  cwe-184,  cwe-248,  cwe-400, cwe-020",14.0,30,7,6,33,34,60,7,889,30,16,30,3,889000,9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,JavaScript,Other,False,True,61.0,33.0,34.0,"['JavaScript', 'Shell']"
auguwu,clippy-action,utilities,5,0,1,1,0,2,cwe-020,2.0,30,1,9,3,1,18,4,4479,30,1,30,0,4479000,11," clippy,  github-action,  typescript, cargo-clippy",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"🐻‍❄️📦 GitHub action to run Clippy, an up-to-date and modern version of actions-rs/clippy",TypeScript,Apache License 2.0,False,True,18.0,3.0,1.0,"['TypeScript', 'JavaScript', 'Rust']"
autero1,action-terragrunt,deployment,39,0,0,1,0,1,cwe-020,1.0,30,9,13,25,4,59,11,1404,30,6,30,3,1404000,16," github-actions,  terraform,  terragrunt, actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub action for setting up Terragrunt https://terragrunt.gruntwork.io,JavaScript,MIT License,False,True,59.0,27.0,4.0,"['JavaScript', 'TypeScript']"
aws-actions,amazon-ecr-login,deployment,102,0,0,0,0,0,,0.0,30,6,30,180,23,957,26,32618,30,32,30,2,32618000,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Logs into Amazon ECR with the local Docker client.,JavaScript,MIT License,True,True,960.0,182.0,23.0,['JavaScript']
aws-actions,amazon-ecs-render-task-definition,deployment,96,0,0,1,0,1," cwe-080,  cwe-116, cwe-020",1.0,30,10,30,148,11,292,25,3468,30,30,30,3,3468000,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inserts a container image URI into an Amazon ECS task definition JSON file.,JavaScript,MIT License,True,True,292.0,149.0,11.0,['JavaScript']
aws-actions,aws-secretsmanager-get-secrets,security,106,0,0,7,0,7," cwe-080,  cwe-116,  cwe-400,  cwe-730, cwe-020",7.0,30,11,17,38,6,151,8,2739,30,16,30,8,2739000,12,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TypeScript,MIT No Attribution,True,True,155.0,39.0,6.0,"['TypeScript', 'JavaScript']"
balena-io,deploy-to-balena-action,container ci,196,0,0,2,0,2," cwe-080,  cwe-116, cwe-020",2.0,30,30,30,14,15,39,20,2922,30,31,30,4,2922000,19,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Official Github action to deploy releases to balenaCloud environments,TypeScript,Apache License 2.0,False,True,39.0,14.0,15.0,"['TypeScript', 'JavaScript', 'Dockerfile', 'Shell']"
batista,lint-filenames,utilities,36,0,1,3,0,4," cwe-400,  cwe-730,  cwe-74, cwe-020",4.0,30,12,3,6,2,31,3,1426,30,14,30,6,1426000,11," filenames,  folder-tooling,  github-actions,  lint,  pattern-matching,  quality-assurance,  tooling, actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A simple github action that validates if all files in a given folder match the given regex pattern.,TypeScript,MIT License,False,True,31.0,5.0,2.0,"['TypeScript', 'JavaScript']"
bazelbuild,setup-bazelisk,testing,76,2,2,5,0,9," cwe-200,  cwe-284,  cwe-338,  cwe-400,  cwe-730, cwe-020",9.0,30,1,4,9,5,56,7,1902,30,0,30,0,1902000,12,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Set up your GitHub Actions workflow with a specific version of Bazelisk,TypeScript,MIT License,True,False,56.0,9.0,5.0,"['TypeScript', 'Shell']"
benc-uk,workflow-dispatch,deployment,5,0,1,1,0,2," cwe-1333,  cwe-400, cwe-020",2.0,30,4,4,128,6,339,5,486,30,12,30,3,486000,10," github,  github-actions, devops",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A GitHub Action for triggering workflows, using the `workflow_dispatch` event",TypeScript,MIT License,False,True,342.0,129.0,6.0,"['TypeScript', 'JavaScript']"
benchmark-action,github-action-benchmark,code quality,104,0,3,1,1,5," cwe-078,  cwe-088,  cwe-1333,  cwe-400,  cwe-506, cwe-020",5.0,30,6,30,166,7,1064,30,5648,30,111,30,12,5648000,13," ci,  github-action, benchmark",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GitHub Action for continuous benchmarking to keep performance,TypeScript,MIT License,False,True,1070.0,166.0,7.0,"['TypeScript', 'JavaScript', 'Shell', 'HTML']"
biomejs,setup-biome,utilities,45,1,2,24,0,27," cwe-200,  cwe-22,  cwe-311,  cwe-367,  cwe-426,  cwe-532,  cwe-59,  cwe-732,  cwe-78, cwe-020",27.0,30,1,10,8,7,63,11,1288,30,1,30,0,1288000,12," biomejs,  formatter,  github-actions,  linter, biome",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Setup the Biome CLI in GitHub Actions,TypeScript,MIT License,False,False,65.0,8.0,7.0,['TypeScript']
blombard,move-to-next-iteration,utilities,25,0,0,2,0,2," cwe-080,  cwe-116, cwe-020",2.0,30,1,6,16,1,38,5,141,25,6,11,0,141000,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automatically move issues to next iteration,JavaScript,MIT License,False,True,39.0,17.0,1.0,['JavaScript']
bobheadxi,deployments,deployment,36,0,0,2,0,2,cwe-020,2.0,30,9,24,63,7,387,25,32070,30,12,30,6,32070000,13," github-actions,  github-api,  status, deployments",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,🔖 GitHub Action for working painlessly with deployment statuses,TypeScript,MIT License,False,True,387.0,63.0,7.0,"['TypeScript', 'JavaScript', 'Makefile']"
borchero,terraform-plan-comment,deployment,596,0,1,5,0,6," cwe-1333,  cwe-327,  cwe-328,  cwe-367,  cwe-79, cwe-020",6.0,16,2,7,13,4,91,4,559,30,14,24,3,559000,15," terraform, github-actions",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GitHub Action to post the output of ""terraform plan"" to a pull request comment.",TypeScript,MIT License,False,True,96.0,14.0,4.0,"['TypeScript', 'JavaScript', 'HCL', 'Shell']"
